timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663313395644,860,GraphQL-findTeacherFeed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-8",text,true,,30591,3940,10,10,https://staging.sproutabout.com/service/graphql,859,0,0
1663313396237,312,GraphQL-findTeacherFeed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-9",text,true,,30497,3940,10,10,https://staging.sproutabout.com/service/graphql,305,0,0
1663313395843,820,GraphQL -CheckOutAlreadyCheckedInChild ,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-2",text,true,,1430,1947,10,10,https://staging.sproutabout.com/service/graphql,820,0,0
1663313396395,283,GraphQL - Find One Child Attendance,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-6",text,true,,959,1885,10,10,https://staging.sproutabout.com/service/graphql,283,0,0
1663313396371,313,ReadNotes,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-10",text,true,,1104,1876,10,10,https://staging.sproutabout.com/service/graphql,313,0,0
1663313396451,274,GraphQL - Find One Child Attendance,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-4",text,true,,958,1885,10,10,https://staging.sproutabout.com/service/graphql,274,0,0
1663313396447,287,GraphQL - Find One Child Attendance,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-3",text,true,,959,1885,10,10,https://staging.sproutabout.com/service/graphql,287,0,0
1663313396505,287,ReadNotes,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-8",text,true,,1104,1876,10,10,https://staging.sproutabout.com/service/graphql,287,0,0
1663313396357,469,GraphQL - Check In Child,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-1",text,true,,1414,1991,10,10,https://staging.sproutabout.com/service/graphql,468,0,0
1663313396549,292,ReadNotes,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-9",text,true,,1104,1876,10,10,https://staging.sproutabout.com/service/graphql,291,0,0
1663313396684,274,GraphQL - Find One Child Attendance,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-10",text,true,,958,1885,10,10,https://staging.sproutabout.com/service/graphql,274,0,0
1663313396793,277,GraphQL - Find One Child Attendance,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-8",text,true,,957,1885,10,10,https://staging.sproutabout.com/service/graphql,277,0,0
1663313396681,394,GraphQL - Check In Child,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-6",text,true,,1414,1991,10,10,https://staging.sproutabout.com/service/graphql,394,0,0
1663313396727,351,GraphQL - Check In Child,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-4",text,true,,1414,1991,10,10,https://staging.sproutabout.com/service/graphql,351,0,0
1663313396665,435,GraphQL - Check In Child,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-2",text,true,,1414,1991,10,10,https://staging.sproutabout.com/service/graphql,435,0,0
1663313396841,282,GraphQL - Find One Child Attendance,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-9",text,true,,958,1885,10,10,https://staging.sproutabout.com/service/graphql,281,0,0
1663313396736,443,GraphQL - Check In Child,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-3",text,true,,1414,1991,10,10,https://staging.sproutabout.com/service/graphql,443,0,0
1663313396846,336,GraphQL-CreatePost - Activity,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-1",text,true,,1246,2177,10,10,https://staging.sproutabout.com/service/graphql,336,0,0
1663313396960,405,GraphQL - Check In Child,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-10",text,true,,1414,1991,10,10,https://staging.sproutabout.com/service/graphql,405,0,0
1663313397078,345,GraphQL-CreatePost - Activity,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-6",text,true,,1246,2177,10,10,https://staging.sproutabout.com/service/graphql,345,0,0
1663313397125,339,GraphQL - Check In Child,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-9",text,true,,1414,1991,10,10,https://staging.sproutabout.com/service/graphql,339,0,0
1663313397144,327,GraphQL-CreatePost - Activity,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-2",text,true,,1246,2177,10,10,https://staging.sproutabout.com/service/graphql,327,0,0
1663313397072,400,GraphQL - Check In Child,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-8",text,true,,1414,1991,10,10,https://staging.sproutabout.com/service/graphql,400,0,0
1663313394852,2710,GraphQL - Check In Staff,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-7",text,true,,1352,1701,10,10,https://staging.sproutabout.com/service/graphql,2710,0,0
1663313397277,335,GraphQL-CreatePost Potty Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-1",text,true,,1422,2525,10,10,https://staging.sproutabout.com/service/graphql,334,0,0
1663313397270,343,GraphQL-CreatePost - Activity,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-3",text,true,,1246,2177,10,10,https://staging.sproutabout.com/service/graphql,343,0,0
